"
Australian Daito-ryu Branch Dojo (head dojo), Highton Geelong",http://aikiaustralia.com.au/,Oceania,Australia,,Takumakai,Leigh Dicker,"Daito Ryu Aikijujutsu Australia No. 7 Marlyn Court Highton, Victoria, Australia 3216",,(03) 5243 2472,
"
Ballarat Dojo",http://aikiaustralia.com.au/,Oceania,Australia,,Takumakai,,"47 Gillies Street Ballarat, Ballarat, Victoria 3350",,Asher L Sensei: 0430 107 043 Kevin M Sensei: 0417 159 259,
"
Daito-ryu Aikijujutsu Sagawa Dojo (Hombu Dojo)",http://webhiden.jp/guide/detail/dojyo667.php,Asia,Japan,Tokyo,Sagawa,Koji Uchino,"2 Chome-1-28 Jōsuiminamichō, Kodaira-shi, Tōkyō-to 187-0021, Japan",,,
"
Daitoryu Aikijujutsu Takumakai European Head Dojo",http://daitoryu.fi/in-english/,Europe,Finland,,Takumakai,,"Winqvistinkatu 1, 00240 Helsinki, Finland",,,info@daitoryu.fi
Abashiri Branch,,Asia,Japan,Hokkaido,Tokimune,Murata Noriyuki,"4-12 Nishi, Minami Yonjo, Abashiri, Hokkaido, Japan.",,0152-44-9239,
"Adult group (from 16 years old), Khimki, md. Gangway",https://daito-ryu.info/,Europe,Russia,,Tokimune,Kopin Stanislav Anatolyevich ,"Khimki , md. Skhodnya, Jubileiny proezd, 16",,7-903-623-59-92 ,info@agatsukan.ru 
"Adult group (from 16 years old), Khimki, md. Novopodrezkovo",https://daito-ryu.info/,Europe,Russia,,Tokimune,Kopin Stanislav Anatolyevich ,"Khimki , md. Novopodrezkovo Str. Zheleznodorozhnaya, 2",,7-903-623-59-92 ,info@agatsukan.ru 
"Adult group (from 16 years old), metro Preobrazhenskaya square",https://daito-ryu.info/,Europe,Russia,,Tokimune,Aleschenkov Mikhail Mikhailovich ,"Moscow , metro Preobrazhenskaya ploshchad, ul. Stromynka, 13a, building. 1, entrance from the end of the building",, 7-926-581-29-38 ,aamichael@yandex.ru 
"Adult group (from 16 years), pos. Forest",https://daito-ryu.info/,Europe,Russia,,Tokimune,Kirsanov Igor Leonidovich ,"Moscow region , pos. Lesnoy Str. Pushkina, d. 8V",,7-905-790-58-67 ,igor.kirsanov2012@yandex.ru 
Aikibudo Gidokai,http://webhiden.jp/guide/detail/dojyo41.php,Asia,Japan,Hokkaido,,"
Hideo Haga","3-10-14 Garden of Otaru City, Hokkaido, 047-0024",,0134-22-5613,
Aikoku Gakuen Branch,,Asia,Japan,Tokyo,Tokimune,Hasegawa Sumie,"Aikoku Gakuen Educational Group in Edogawa Ward, Tokyo.",,03-3693-4196,
Asahikawa Aikibudokai,https://kitami-aikibudo-sp.jimdo.com/%E6%97%AD%E5%B7%9D%E6%94%AF%E9%83%A8%E3%81%AE%E7%B4%B9%E4%BB%8B/,Asia,Japan,Hokkaido,Kodokai,Fujino Takuzō,旭川市総合体育館・第3体育室（旭川市花咲町5丁目）,,,
